"Year","Month","EMTperp","We"
2017,6,-616.600077847743,2.71359708527591
2017,7,-1026.13605593495,1.69905726529913
2017,8,-984.859169499813,7.42225631447412
2017,9,-283.033116148763,12.5039706251913
2017,10,-105.840533312335,7.5588240328414
2017,11,-115.640858734398,0.679380810675323
2017,12,-30.9560346632734,-8.73983857601465
2018,1,-118.402736256075,-12.3855807138348
2018,2,-111.350354352674,-19.0466342557905
2018,3,-126.78821463936,-1.95517634188741
2018,4,-109.72506505359,-0.0477346628457598
2018,5,-201.205366813612,10.2812745617262
2018,6,-583.772968045061,9.28145145673928
2018,7,-1179.69849466436,3.9693422689006
2018,8,-1109.55623679525,1.3796340156596
2018,9,-487.030549712821,3.32216624452873
2018,10,-28.0056935893912,1.22631065851154
2018,11,-31.7372433051831,-2.09111893218291
2018,12,-121.860002246607,-8.48401531495006
2019,1,-148.716497691616,-18.8982877128073
2019,2,-227.853324960752,-11.3582981584225
2019,3,-198.386678214181,-1.85498591183695
2019,4,-220.026267663926,0.623788760275083
2019,5,-535.702020390062,4.89842500389775
2019,6,-340.406258608756,6.14947485085453
2019,7,-585.862828724088,-0.150422605213522
2019,8,-498.95316281127,0.373484407719986
2019,9,-259.994927466704,2.05393912935772
2019,10,54.4101688350803,-0.10629120204082
2019,11,-64.8874345958121,-5.887661383687
2019,12,-47.8323487421549,-30.7742023597382
2020,1,-250.308573191332,-21.2096200060596
2020,2,-143.127815277568,-25.1710762078836
2020,3,-183.394629514037,-2.09301575346609
2020,4,-109.574626933207,-0.706831786698356
2020,5,-405.914617093074,8.36697831040827
2020,6,-404.543777298675,5.0407038571835
